utterance,normalized_utterance,matched_concept,similarity_score,distance_to_centroid,is_main_concept,is_repeated
"that she had a pretty dress,.","that she had a pretty dress,.",A fairy godmother appeared to Cinderella.,0.425,0.575,True,
"and I think a fairy godmother, I don't know who the woman was, I think it's a fairy godmother shows up.","and a fairy godmother, I don't know who the woman was, it's a fairy godmother shows up",A fairy godmother appeared to Cinderella.,0.567,0.433,True,
"and gives her a dress and glass slippers,.","and gives her a dress and glass slippers,.",He put the slipper on Cinderella’s foot.,0.5491,0.4509,True,
but she has to be back by 12 midnight.,but she has to be back by 12 midnight.,She knew she had to be home by midnight because everything will turn back at midnight.,0.2195,0.7805,True,
"So when the clock strikes 12, she starts to run.","when the clock strikes 12, she starts to run",She ran down the stairs.,0.3882,0.6118,True,
Loss a slipper.,Loss a slipper.,As she was running down the stairs she lost one of the glass slippers.,0.3697,0.6303,True,
"And The prince Who she meets at the dance comes looking for her,.","And The prince Who she meets at the dance comes looking for her,.",Prince comes to Cinderella's house.,0.6307,0.3693,True,
and The slipper fits so.,and The slipper fits so.,The slipper fits Cinderella perfectly.,0.4003,0.5997,True,
They get together.,They get together.,They got an invitation to the ball.,0.2391,0.7609,True,
has 2 sisters.,has 2 sisters.,Dad remarried a woman with two daughters.,0.36,0.64,True,
"Um, to the, um.",to the,,0.2137,0.7863,False,False
The uh cos of the old.,The cos of the old,Stepmother/stepsisters were mean to Cinderella.,0.2091,0.7909,True,
"Um, as soon, sooner rather, uh, not go to the, the poor.","as soon, sooner rather, not go to the, the poor",,0.1665,0.8335,False,False
Of the um.,Of the,,0.1533,0.8467,False,False
Sent.,Sent.,,0.0238,0.9762,False,False
and met the prince.,and met the prince.,Cinderella and the prince were married.,0.4626,0.5374,True,
"Um, The um Um, The um um.",The The,,0.1307,0.8693,False,False
That send it right on um um.,That send it right on,They got an invitation to the ball.,0.1962,0.8038,True,
Um That's the um.,That's the,,0.1467,0.8533,False,False
"Ah Um Yeah, Um, Um The fairy godmother, yes.","The fairy godmother, yes",A fairy godmother appeared to Cinderella.,0.4666,0.5334,True,
For a couple of the um uh.,For a couple of the,,0.1331,0.8669,False,False
"The uh Charles Moon, the uh um mass, the um.","The Charles Moon, the mass, the",,0.1509,0.8491,False,False
The um uh uh.,The,,0.1375,0.8625,False,False
"Ho Um, the uh carriage, right.","Ho the carriage, right",The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2983,0.7017,True,
"Um, um, the, um.",the,,0.1375,0.8625,False,False
Center of the um.,Center of the,,0.0866,0.9134,False,False
"Uh, the, uh Uh, shoes and the uh.","the, shoes and the",The slipper didn’t fit the stepsisters.,0.2841,0.7159,True,
"Um Trust, yeah.",Trust,,0.1343,0.8657,False,False
On the uh on the uh.,On the on the,,0.1458,0.8542,False,False
Yeah.,,,0.1262,0.8738,False,False
The uh uh.,The,,0.1375,0.8625,False,False
Cancer than the uh um.,Cancer than the,,0.0138,0.9862,False,False
"Um The, um, 2 run, um, so from the uh.","The, 2 run, so from the",Stepmother/stepsisters went to the ball.,0.1889,0.8111,True,
"Um, Palos, yeah.",Palos,,0.069,0.931,False,False
Um Um.,,,0.1262,0.8738,False,False
Yeah.,,,0.1262,0.8738,False,False
It's chaps.,It's chaps.,,0.1186,0.8814,False,False
"Um, um.",,,0.1262,0.8738,False,False
And the um previous record magazine.,And the previous record magazine,,0.0827,0.9173,False,False
"And the uh With that, Um, Um, sort of a park.","And the With that, sort of a park",,0.1676,0.8324,False,False
Um Um.,,,0.1262,0.8738,False,False
The um um um.,The,,0.1375,0.8625,False,False
Uh so like uh the um uh.,so the,,0.1705,0.8295,False,False
Center uh um uh.,Center,,0.0649,0.9351,False,False
"Um, He chopped down the ss um the Um Um Um Uh, the, um.",He chopped down the ss the the,,0.1824,0.8176,False,False
Um The um uh.,The,,0.1375,0.8625,False,False
"Uh, uh, so the business, um, um.",so the business,,0.1607,0.8393,False,False
"Um, Goats, right, right.","Goats, right, right",,0.0665,0.9335,False,False
"Um, yes, um.",yes,,0.0645,0.9355,False,False
"You should, yeah, yeah, yeah, I like class, right, you know, um, yeah, um.","You should, I like class, right",,0.0743,0.9257,False,False
"The uh Uh, they go.",The they go,Everything turns back to its original form.,0.2722,0.7278,True,
and swim out they go back to the house.,and swim out they go back to the house.,She ran down the stairs.,0.3497,0.6503,True,
"Um, yeah, yeah.",,,0.1262,0.8738,False,False
And their prints.,And their prints.,,0.1715,0.8285,False,False
The uh shoes were a class.,The shoes were a class,He put the slipper on Cinderella’s foot.,0.3119,0.6881,True,
"Um, yeah, yeah.",,,0.1262,0.8738,False,False
"Uh The um Try to do that, uh, tried it.","The Try to do that, tried it",,0.0577,0.9423,False,False
Um Uh.,,,0.1262,0.8738,False,False
"Um, they, you know.",they,,0.1564,0.8436,False,False
"Um, This is right up on the uh.",This is right up on the,,0.0969,0.9031,False,False
"Uh, parties.",parties,Stepmother/stepsisters went to the ball.,0.2399,0.7601,True,
"Um, And so um.",And so,,0.1952,0.8048,False,False
"Um, The um uh prince.",The prince,The king thinks the prince should get married.,0.4094,0.5906,True,
"if I remember correctly, it was this one girl, she was working.","if correctly, it was this one girl, she was working",The prince and Cinderella danced around the room/all night/with no one else.,0.2987,0.7013,True,
"Uh, she was adopted, whatever with from by this one lady who had 3 daughters,.","she was adopted, whatever with from by this one lady who had 3 daughters",Dad remarried a woman with two daughters.,0.3541,0.6459,True,
"and the lady took very good care of the 3 girls,.","and the lady took very good care of the 3 girls,.",She returned home in time.,0.3984,0.6016,True,
and Cinderella had to do all the hard work.,and Cinderella had to do all the hard work.,Cinderella has to do housework.,0.7606,0.2394,True,
Scrub the floors and all the menial task.,Scrub the floors and all the menial task.,,0.1652,0.8348,False,False
and there was a party going on.,and there was a party going on.,They got an invitation to the ball.,0.4069,0.5931,True,
And the girls were all dressed their way to the party.,And the girls were all dressed their way to the party.,She knew she had to be home by midnight because everything will turn back at midnight.,0.3584,0.6416,True,
"The mom helped them dressed them,.","The mom helped them dressed them,.",Stepmother/stepsisters went to the ball.,0.4097,0.5903,True,
"and Cinderella was just left there, nothing to do,.","and Cinderella was just left there, nothing to do,.",Cinderella has to do housework.,0.7614,0.2386,True,
and then all of a sudden a very I guess came.,all of a sudden a very came,A fairy godmother appeared to Cinderella.,0.2776,0.7224,True,
"and gave her a dress,.","and gave her a dress,.",He put the slipper on Cinderella’s foot.,0.514,0.486,True,
and she went to the party.,and she went to the party.,She returned home in time.,0.4544,0.5456,True,
and she met the prince.,and she met the prince.,Cinderella and the prince were married.,0.5855,0.4145,True,True
and He danced with her.,and He danced with her.,The prince and Cinderella danced around the room/all night/with no one else.,0.3998,0.6002,True,
and she had to be home by a certain time.,and she had to be home by a certain time.,She knew she had to be home by midnight because everything will turn back at midnight.,0.3353,0.6647,True,
"and by the time she left something with the slippers, she left her slipper there, something like that, that's what I mean.","and by the time she left something with the slippers, she left her slipper there, something like that, that's what",As she was running down the stairs she lost one of the glass slippers.,0.5223,0.4777,True,
um uh woman and the um her.,woman and the her,Stepmother/stepsisters went to the ball.,0.3112,0.6888,True,
"Um, mother,.",mother,Stepmother/stepsisters went to the ball.,0.312,0.688,True,
"and they don't want um Cinderella, they, they want them just to.","and they don't want Cinderella, they, they want them just to",Cinderella has to do housework.,0.5962,0.4038,True,
We do They can't do anything with?,We do They can't do anything with?,,0.0108,0.9892,False,False
"Well, there comes a little.",there comes a little,,0.1805,0.8195,False,False
"Um, into a, um.",into a,Cinderella went to the ball in the coach.,0.3026,0.6974,True,
"It's really a carbon, no.","It's really a carbon, no.",,-0.03,1.03,False,False
"Yeah, there is a um.",there is a,They are excited about the ball.,0.2291,0.7709,True,
Is a carriage?,Is a carriage?,The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.3057,0.6943,True,
that you're looking for?,that you're looking for?,,0.0839,0.9161,False,False
Probably.,Probably.,,0.0648,0.9352,False,False
"Yeah,.",,,0.1262,0.8738,False,False
"and they have the a prince, and ,.","and they have the a prince, and ,.",The king thinks the prince should get married.,0.3329,0.6671,True,
and the princes cannot have any other ones.,and the princes cannot have any other ones.,The king thinks the prince should get married.,0.3587,0.6413,True,
"that Uh, doesn't know when he hints that it's in with Cinderella with the I there.",that doesn't know when he hints that it's in with Cinderella with the I there,He put the slipper on Cinderella’s foot.,0.5396,0.4604,True,
"And then they went go out to forever, forever.","And then they went go out to forever, forever.",The prince and Cinderella danced around the room/all night/with no one else.,0.3478,0.6522,True,
"and ever, love.","and ever, love.",,0.2248,0.7752,False,False
Cinderella basically was an orphan.,Cinderella was an orphan,Cinderella was a servant to the stepmother and stepsisters.,0.7737,0.2263,True,
"I really don't remember how she became an orphan, but she was an orphan.","I really don't remember how she became an orphan, but she was an orphan.",Cinderella was a servant to the stepmother and stepsisters.,0.431,0.569,True,
and she went to live.,and she went to live.,She returned home in time.,0.373,0.627,True,
"With this mother and her two,.","With this mother and her two,.",Dad remarried a woman with two daughters.,0.2998,0.7002,True,
"and I can't remember, it's 2 or 3 daughters who were not too attractive.","and I can't remember, it's 2 or 3 daughters who were not too attractive.",Dad remarried a woman with two daughters.,0.3893,0.6107,True,
"Cinderella really basically was attractive,.",Cinderella really was attractive,The fairy godmother makes Cinderella into a beautiful princess.,0.5551,0.4449,True,
"but she did all the the the crazy work in the house, she built the fires.","but she did all the the the crazy work in the house, she built the fires.",Cinderella has to do housework.,0.3478,0.6522,True,
"and mopped the floors, etc.","and mopped the floors, etc.",Cinderella has to do housework.,0.2786,0.7214,True,
And there's a big ball coming up and the the sisters were so excited.,And there's a big ball coming up and the the sisters were so excited.,They are excited about the ball.,0.4547,0.5453,True,
and they were gonna go.,and they were gonna go.,They got an invitation to the ball.,0.2733,0.7267,True,
"and they're gonna meet the prince,.","and they're gonna meet the prince,.",The king thinks the prince should get married.,0.463,0.537,True,
and they all wanted to have the prince fall madly in love with them.,and they all wanted to have the prince fall madly in love with them.,Cinderella and the prince were married.,0.4917,0.5083,True,
"Well, at the last minute, the girls all get dressed up.","at the last minute, the girls all get dressed up",Stepsisters tore Cinderella’s dress.,0.4673,0.5327,True,
Fairy godmother comes.,Fairy godmother comes.,A fairy godmother appeared to Cinderella.,0.5389,0.4611,True,
and put Cinderella in a lovely dress.,and put Cinderella in a lovely dress.,Cinderella has to do housework.,0.6843,0.3157,True,
"She looked great, and a pair of glass slippers.","She looked great, and a pair of glass slippers.",The slipper fits Cinderella perfectly.,0.4244,0.5756,True,
And she went downstairs and the sisters were not happy to see her.,And she went downstairs and the sisters were not happy to see her.,Cinderella was upset.,0.5219,0.4781,True,
And everybody went to the ball.,And everybody went to the ball.,They got an invitation to the ball.,0.3064,0.6936,True,
"The prince danced with his sisters, certainly weren't taken by him,.","The prince danced with his sisters, certainly weren't taken by him,.",The prince and Cinderella danced around the room/all night/with no one else.,0.4566,0.5434,True,
and danced with Cinderella.,and danced with Cinderella.,Cinderella and the prince were married.,0.6969,0.3031,True,
"and Asked her to leave with him,.","and Asked her to leave with him,.",Cinderella was upset.,0.3853,0.6147,True,
"as they're leaving, going down the wide steps, she lost one glass slipper.","as they're leaving, going down the wide steps, she lost one glass slipper.",As she was running down the stairs she lost one of the glass slippers.,0.4994,0.5006,True,
"And she had to be home by midnight, I think midnight.","And she had to be home by midnight, midnight",She knew she had to be home by midnight because everything will turn back at midnight.,0.4363,0.5637,True,True
I'm not sure about that.,I'm not sure about that.,,0.03,0.97,False,False
"Um, She gets home And the prince is so upset.",She gets home And the prince is so upset,Prince comes to Cinderella's house.,0.6449,0.3551,True,
He has the slipper.,He has the slipper.,He put the slipper on Cinderella’s foot.,0.387,0.613,True,
and he wants to find the person that the slipper fits.,and he wants to find the person that the slipper fits.,He put the slipper on Cinderella’s foot.,0.4433,0.5567,True,
"So he goes back to the home where the stepmother and the three girls, 2.","he goes back to the home where the stepmother and the three girls, 2",Cinderella lives with her stepmother/stepsisters.,0.612,0.388,True,
"or 3 girls live,.","or 3 girls live,.",Dad remarried a woman with two daughters.,0.2844,0.7156,True,
"and of course, tried the slipper on everyone.","and of course, tried the slipper on everyone.",He put the slipper on Cinderella’s foot.,0.4101,0.5899,True,
and it didn't fit.,and it didn't fit.,The slipper didn’t fit the stepsisters.,0.25,0.75,True,
until all of a sudden Cinderella appears.,until all of a sudden Cinderella appears.,Cinderella has to do housework.,0.6769,0.3231,True,
and the slipper fit her.,and the slipper fit her.,The slipper fits Cinderella perfectly.,0.5074,0.4926,True,True
And the fairy godmother said that was wonderful.,And the fairy godmother said that was wonderful.,A fairy godmother appeared to Cinderella.,0.5802,0.4198,True,
I can't remember the really bitter end.,I can't remember the really bitter end.,Cinderella and the prince lived happily ever after.,0.3057,0.6943,True,
I think Cinderella took off with the prince.,Cinderella took off with the prince,Prince comes to Cinderella's house.,0.8223,0.1777,True,
That's all I remember.,That's all,,0.1447,0.8553,False,False
Cinderella was with a wicked stepmother.,Cinderella was with a wicked stepmother.,Cinderella was a servant to the stepmother and stepsisters.,0.85,0.15,True,True
and she had Two stepsisters who were very mean.,and she had Two stepsisters who were very mean.,Stepmother/stepsisters were mean to Cinderella.,0.4659,0.5341,True,
They were very jealous of her.,They were very jealous of her.,Stepmother/stepsisters were mean to Cinderella.,0.2787,0.7213,True,
"And they made Cinderella, she had to do everything.","And they made Cinderella, she had to do everything.",Cinderella has to do housework.,0.7063,0.2937,True,True
She had to sweep the floor.,She had to sweep the floor.,She ran down the stairs.,0.4101,0.5899,True,
and make the beds.,and make the beds.,Cinderella has to do housework.,0.2749,0.7251,True,
and keep the house clean.,and keep the house clean.,Cinderella has to do housework.,0.2488,0.7512,True,
The stepsisters didn't have to do anything.,The stepsisters didn't have to do anything.,Stepmother/stepsisters went to the ball.,0.3874,0.6126,True,
"And let's see, how did the glass slipper come into it?","And let's see, how did the glass slipper come into it?",He put the slipper on Cinderella’s foot.,0.5433,0.4567,True,
"She went to, 00, they were gonna have a ball.","She went to, 00, they were gonna have a ball.",Stepmother/stepsisters went to the ball.,0.4336,0.5664,True,
And she had her little mice friends.,And she had her little mice friends.,The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.4344,0.5656,True,
and they made a beautiful dress for her.,and they made a beautiful dress for her.,The fairy godmother makes Cinderella into a beautiful princess.,0.4696,0.5304,True,
so she could go to this ball.,she could go to this ball,They got an invitation to the ball.,0.3007,0.6993,True,
But at the last minute the stepmother said she couldn't.,But at the last minute the stepmother said she couldn't.,Stepmother/stepsisters were mean to Cinderella.,0.6126,0.3874,True,
"Go, I guess her chores weren't done.","Go, her chores weren't done",Cinderella has to do housework.,0.4109,0.5891,True,
so she They all left.,she They all left,As she was running down the stairs she lost one of the glass slippers.,0.3074,0.6926,True,
"and she was all weeping,.","and she was all weeping,.",Cinderella was upset.,0.3912,0.6088,True,
and then her fairy godmother came.,and then her fairy godmother came.,A fairy godmother appeared to Cinderella.,0.6168,0.3832,True,
"and there was a um a coach, a beautiful coach,.","and there was a a coach, a beautiful coach",Cinderella went to the ball in the coach.,0.3274,0.6726,True,
"and she said she could go to the ball in this in this coach, which he did.","and she said she could go to the ball in this in this coach, which he did.",Cinderella went to the ball in the coach.,0.3815,0.6185,True,
So she went to the ball.,she went to the ball,Stepmother/stepsisters went to the ball.,0.4024,0.5976,True,True
and came down the staircase.,and came down the staircase.,She ran down the stairs.,0.5075,0.4925,True,
"And for some reason, this this Stepmother, the mean stepmother.","And for some reason, this this Stepmother, the mean stepmother.",Stepmother/stepsisters were mean to Cinderella.,0.5219,0.4781,True,
"and the sisters didn't recognize her,.","and the sisters didn't recognize her,.",The slipper didn’t fit the stepsisters.,0.4229,0.5771,True,
but she came down.,but she came down.,She ran down the stairs.,0.377,0.623,True,
and she was um She was dancing with this very handsome prince.,and she was She was dancing with this very handsome prince,The prince and Cinderella danced around the room/all night/with no one else.,0.5515,0.4485,True,
"And she had the one rule was she had to be home by midnight,.","And she had the one rule was she had to be home by midnight,.",She knew she had to be home by midnight because everything will turn back at midnight.,0.3656,0.6344,True,
"but she was having such a good time, time kind of got away with her.","but she was having such a good time, time kind of got away with her.",Cinderella was upset.,0.3297,0.6703,True,
midnight struck on the clock.,midnight struck on the clock.,Cinderella realized it is midnight.,0.3571,0.6429,True,
And she said she had to go.,And she said she had to go.,Cinderella was upset.,0.4011,0.5989,True,True
and she ran up the steps.,and she ran up the steps.,She ran down the stairs.,0.4579,0.5421,True,
"and she, her clothes turned back to the old clothes that she had,.","and she, her clothes turned back to the old clothes that she had,.",She returned home in time.,0.3985,0.6015,True,
and the uh coach turned back into a pumpkin.,and the coach turned back into a pumpkin,Cinderella went to the ball in the coach.,0.4092,0.5908,True,
"And uh Meanwhile, she lost her glass slipper.","And Meanwhile, she lost her glass slipper",As she was running down the stairs she lost one of the glass slippers.,0.5809,0.4191,True,
so the prince.,the prince,The king thinks the prince should get married.,0.4094,0.5906,True,True
"Really was attracted to her,.","Really was attracted to her,.",Cinderella was upset.,0.2337,0.7663,True,
so he took this glass slipper.,he took this glass slipper,He put the slipper on Cinderella’s foot.,0.4733,0.5267,True,
"and went throughout the land to try to find it was a very small, try to find the owner.","and went throughout the land to try to find it was a very small, try to find the owner.",The prince searched door to door for Cinderella.,0.2633,0.7367,True,
"Well, he went to the stepmother's house and the girls were, of course, they were sure they could squeeze into the slipper,.","he went to the stepmother's house and the girls were, of course, they were sure they could squeeze into the slipper",He put the slipper on Cinderella’s foot.,0.6748,0.3252,True,
"but they, they couldn't.","but they, they couldn't.",,0.1656,0.8344,False,False
They were getting ready ready to leave.,They were getting ready ready to leave.,They got an invitation to the ball.,0.3079,0.6921,True,
They kind of shooed um Cinderella away and uh.,They kind of shooed Cinderella away and,Cinderella was upset.,0.7648,0.2352,True,
Somebody saw her.,Somebody saw her.,A fairy godmother appeared to Cinderella.,0.3672,0.6328,True,
"and said, oh we she needs to try on the shoe.","and said, we she needs to try on the shoe",The slipper didn’t fit the stepsisters.,0.3752,0.6248,True,
and it fit.,and it fit.,The slipper fits Cinderella perfectly.,0.2413,0.7587,True,
and They got together.,and They got together.,Cinderella and the prince were married.,0.3718,0.6282,True,True
and lived happily ever after.,and lived happily ever after.,Cinderella and the prince lived happily ever after.,0.398,0.602,True,
She and Prince.,She and Prince.,Cinderella and the prince were married.,0.3275,0.6725,True,
"But Cinderella was a, I guess you'd say she was a housekeeper or maid in in in in that home.","But Cinderella was a, you'd say she was a housekeeper or maid in in in in that home",Cinderella was a servant to the stepmother and stepsisters.,0.6692,0.3308,True,
that had some beautiful children.,that had some beautiful children.,Cinderella and the prince were married.,0.3668,0.6332,True,
and uh There there was a party.,and There there was a party,The prince and Cinderella danced around the room/all night/with no one else.,0.3706,0.6294,True,True
and uh get something about the prince got there.,and get something about the prince got there,Prince comes to Cinderella's house.,0.4727,0.5273,True,
"and uh thought she was very, very beautiful.","and thought she was very, very beautiful",Cinderella was upset.,0.4043,0.5957,True,
We didn't know who she was.,We didn't know who she was.,Cinderella was upset.,0.2639,0.7361,True,
And then he found the shoe.,And then he found the shoe.,Prince finds Cinderella’s shoe.,0.4231,0.5769,True,
"or she left her shoe somewhere,.","or she left her shoe somewhere,.",As she was running down the stairs she lost one of the glass slippers.,0.3714,0.6286,True,
"and the story was if the, if , if it was her shoe, then the prince wanted to meet her.","and the story was if the, if , if it was her shoe, then the prince wanted to meet her.",Prince finds Cinderella’s shoe.,0.6405,0.3595,True,
"or do something with her,.","or do something with her,.",,0.1311,0.8689,False,False
"but in any case, they tried the shoe on all the women and uh She was the one who fit the shoe.","but in any case, they tried the shoe on all the women and She was the one who fit the shoe",The slipper didn’t fit the stepsisters.,0.3746,0.6254,True,
"or the shoe fit her,.","or the shoe fit her,.",The slipper didn’t fit the stepsisters.,0.3883,0.6117,True,
"and she went off with the prince,.","and she went off with the prince,.",Cinderella and the prince were married.,0.5751,0.4249,True,
and they lived happily ever after.,and they lived happily ever after.,Cinderella and the prince lived happily ever after.,0.472,0.528,True,True
"Um, let me see, it's it in the first picture is a picture of the mother of the father's new wife coming into the house with her 22 daughters.",it's it in the first picture is a picture of the mother of the father's new wife coming into the house with her 22 daughters,Stepmother/stepsisters went to the ball.,0.3758,0.6242,True,
"Um, they're introduced the Man.",they're introduced the Man,They got an invitation to the ball.,0.2245,0.7755,True,
