utterance,normalized_utterance,matched_concept,similarity_score,distance_to_centroid,is_main_concept,is_repeated
"but she, she gives them a house, gives them a house, a house.","but she, she gives them a house, gives them a house, a house.",Cinderella has to do housework.,0.4095,0.5905,True,False
"Um, with cartons were the horses were the.",with cartons were the horses were the,The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2665,0.7335,True,False
"And would get them to go,.","And would get them to go,.",They got an invitation to the ball.,0.2024,0.7976,True,False
"but he was told he had to be home by 11 o'clock, by 12 o'clock.","but he was told he had to be home by 11 o'clock, by 12 o'clock.",She knew she had to be home by midnight because everything will turn back at midnight.,0.2665,0.7335,True,False
"And um he, he gets a beautiful gown.","And he, he gets a beautiful gown",The fairy godmother makes Cinderella into a beautiful princess.,0.4931,0.5069,True,False
"She's everything, beautiful.","She's everything, beautiful.",The fairy godmother makes Cinderella into a beautiful princess.,0.2166,0.7834,True,False
"And then He goes to the president and she, he, he, the chief.","And then He goes to the president and she, he, he, the chief.",Prince comes to Cinderella's house.,0.3143,0.6857,True,False
"Uh, he brings her,.",he brings her,King announces there is going to be a ball in honor of son who needs to find a wife.,0.397,0.603,True,False
"and she was, she loved him.","and she was, she loved him.",Cinderella and the prince were married.,0.3676,0.6324,True,False
He looked beautiful.,He looked beautiful.,Cinderella and the prince lived happily ever after.,0.198,0.802,True,False
And then she noticed.,she noticed,She returned home in time.,0.3113,0.6887,True,False
"that the crown, uh, was leaving.","that the crown, was leaving",Cinderella was upset.,0.3768,0.6232,True,False
"She was leaving down, usually a long, long stairs, uh,.","She was leaving down, usually a long, long stairs, ",She ran down the stairs.,0.4625,0.5375,True,False
"and she ran upstairs and ,.","and she ran upstairs and ,.",She ran down the stairs.,0.487,0.513,True,False
or maybe it was ran down.,or maybe it was ran down.,,0.1451,0.8549,False,False
"or the other, they, he left a class sheet.","or the other, they, he left a class sheet.",The prince and Cinderella danced around the room/all night/with no one else.,0.2259,0.7741,True,False
Did you move on.,Did you move on.,,0.1396,0.8604,False,False
So he's finished.,he's finished,,0.1556,0.8444,False,False
She's leaving the gown.,She's leaving the gown.,As she was running down the stairs she lost one of the glass slippers.,0.4132,0.5868,True,False
"and she's, because it's 12 o'clock.","and she's, because it's 12 o'clock.",Cinderella realized it is midnight.,0.2572,0.7428,True,False
"And she, um, she lives, uh, uh, uh, uh, uh, she left one of her old blisters, her glass.","And she, she lives, she left one of her old blisters, her glass",As she was running down the stairs she lost one of the glass slippers.,0.3807,0.6193,True,False
She was leaving.,She was leaving.,She ran down the stairs.,0.3804,0.6196,True,False
Ah bless and they were special.,bless and they were special,Cinderella and the prince lived happily ever after.,0.2012,0.7988,True,False
"Uh, classroom.",classroom,The prince and Cinderella danced around the room/all night/with no one else.,0.1855,0.8145,True,False
that they left.,that they left.,Stepmother/stepsisters went to the ball.,0.249,0.751,True,False
and he was going to.,and he was going to.,She knew she had to be home by midnight because everything will turn back at midnight.,0.1987,0.8013,True,False
And he's very looking for whoever.,And he's very looking for whoever.,,0.1644,0.8356,False,False
that would fit them.,that would fit them.,,0.1307,0.8693,False,False
"And to his aunt Tammy buddy,.","And to his aunt Tammy buddy,.",King announces there is going to be a ball in honor of son who needs to find a wife.,0.2364,0.7636,True,False
and he tried all the three.,and he tried all the three.,,0.144,0.856,False,False
"and he found her fit on his bath and girls of the world, everybody.","and he found her fit on his bath and girls of the world, everybody.",He put the slipper on Cinderella’s foot.,0.4268,0.5732,True,False
Cinderella.,Cinderella.,Cinderella has to do housework.,0.7464,0.2536,True,False
"Uh, has a, um, a father,.","has a, a father",Dad remarried a woman with two daughters.,0.2505,0.7495,True,False
"and he brings home a, um, Nasty mistress, yeah,.","and he brings home a, Nasty mistress, ",Prince comes to Cinderella's house.,0.4627,0.5373,True,False
"and , um, she brings two children.","and, she brings two children",Dad remarried a woman with two daughters.,0.419,0.581,True,False
"With her two steps, I think,.","With her two steps, ",She ran down the stairs.,0.4452,0.5548,True,False
"and , um, then her father dies.","and, then her father dies",Prince falls in love with Cinderella.,0.4971,0.5029,True,False
And then she's stuck with that nasty stepmother.,And then she's stuck with that nasty stepmother.,Stepmother/stepsisters were mean to Cinderella.,0.588,0.412,True,False
"and , um, Um, Um, the, the king wants the prince to get married, and , um, She's all well they're all excited about it as in the stepsisters and Cinderella and um.","and, the, the king wants the prince to get married, and, She's all they're all excited about it as in the stepsisters and Cinderella and",The king thinks the prince should get married.,0.6847,0.3153,True,False
"Oh, and then, um, She She gets all excited.",She She gets all excited,They are excited about the ball.,0.3003,0.6997,True,False
"I, I believe she gets her mother's stress, and , um, Uh, step sitters, basically.","I, I believe she gets her mother's stress, and, step sitters",Cinderella lives with her stepmother/stepsisters.,0.2673,0.7327,True,False
Take it away from her and um.,Take it away from her and,Cinderella has to do housework.,0.2012,0.7988,True,False
"The, the, the mice and um.","The, the, the mice and",The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2736,0.7264,True,False
"I don't remember their names,.",their names,They got an invitation to the ball.,0.2002,0.7998,True,False
"but anyway, they, um, Help her.","but they, Help her",Cinderella has to do housework.,0.2489,0.7511,True,False
"Well, Um.",,,0.1262,0.8738,False,False
She meets meets a fairy godmother.,She meets meets a fairy godmother.,The fairy godmother makes Cinderella into a beautiful princess.,0.6142,0.3858,True,True
"and her, um, does her up and , um, Uh.","and her, does her up and",Cinderella has to do housework.,0.2612,0.7388,True,False
That tells her to be home by midnight.,That tells her to be home by midnight.,She knew she had to be home by midnight because everything will turn back at midnight.,0.3342,0.6658,True,False
"and she loses shoe, well, when she gets, when she gets there, um, He's enthralled with her.","and she loses shoe, when she gets, when she gets there, He's enthralled with her",Prince finds Cinderella’s shoe.,0.5012,0.4988,True,False
"and she wants, it's almost midnight.","and she wants, it's almost midnight.",She knew she had to be home by midnight because everything will turn back at midnight.,0.2997,0.7003,True,False
"and she loses shoe, and then, Um.",and she loses shoe,As she was running down the stairs she lost one of the glass slippers.,0.4326,0.5674,True,False
"Oh, yes,.",yes,,0.0645,0.9355,False,False
"and her stepsister see her there and she, yeah, they're really mad.","and her stepsister see her there and she, they're really mad",Stepsisters tore Cinderella’s dress.,0.4289,0.5711,True,False
"Uh,.",,,0.1262,0.8738,False,False
and they lock her up in a room.,and they lock her up in a room.,Cinderella has to do housework.,0.3702,0.6298,True,False
"And , um, the mice.","And, the mice",The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2479,0.7521,True,False
"Um, give her the key.",give her the key,Cinderella has to do housework.,0.2537,0.7463,True,False
And Um.,And,,0.1487,0.8513,False,False
The.,The.,,0.1526,0.8474,False,False
Kings.,Kings.,King announces there is going to be a ball in honor of son who needs to find a wife.,0.2138,0.7862,True,False
"I don't know what he is, but he's just the, Um.","I don't know what he is, but he's just the",,0.0773,0.9227,False,False
I don't know.,I don't know.,,0.1152,0.8848,False,False
"He, he's just the minion or something,.","He, he's just the minion or something,.",,0.1559,0.8441,False,False
"but , um, he tries on, uh, tries to.","but, he tries on, tries to",The slipper didn’t fit the stepsisters.,0.1936,0.8064,True,False
"Um, Um.",,,0.1262,0.8738,False,False
"Tries on the shoe to the other stepsisters,.","Tries on the shoe to the other stepsisters,.",The slipper didn’t fit the stepsisters.,0.5749,0.4251,True,False
"and then Cinderella tries it on and then she's, um, She's happy.","Cinderella tries it on she's, She's happy",Cinderella was upset.,0.6671,0.3329,True,False
and she gets married and that's it.,and she gets married and that's it.,Cinderella and the prince were married.,0.4593,0.5407,True,False
Cinderella.,Cinderella.,Cinderella has to do housework.,0.7464,0.2536,True,True
"3 people, 2 people and 122 people and uh Entourage.","3 people, 2 people and 122 people and Entourage",They got an invitation to the ball.,0.1776,0.8224,True,False
Entourage.,Entourage.,,0.1308,0.8692,False,False
"OK, and uh now here.","OK, and now here",The prince and Cinderella danced around the room/all night/with no one else.,0.1937,0.8063,True,False
And here.,And here.,,0.0548,0.9452,False,False
and Say Why not good?,and Say Why not good?,,0.0635,0.9365,False,False
Why not good?,Why not good?,,0.0791,0.9209,False,False
"How come just you, me, not good here?","How come just you, me, not good here?",,0.0026,0.9974,False,False
"And say, oh no, I say, yeah, no, no, sorry, not good, uh, say, uh.","And say, no, I say, no, no, sorry, not good, say",,0.1668,0.8332,False,False
"Uh, Here, OK, yes, OK, nice and good and everything, and here, no boo, yeah, yeah, that's not problem, not good,.","Here, OK, yes, OK, nice and good and everything, and here, no boo, that's not problem, not good",,0.0971,0.9029,False,False
"and say, Well, gee whiz, how come.","and say, gee whiz, how come",,0.1553,0.8447,False,False
"and say, well, I don't know how come I'm not sure,.","and say, I don't know how come I'm not sure",,0.0971,0.9029,False,False
but look.,but look.,,0.0787,0.9213,False,False
and see.,and see.,,0.1334,0.8666,False,False
"and say, That's nice, but not here,.","and say, That's nice, but not here,.",,0.0221,0.9779,False,False
"and say, well, I don't know why, cause good person.","and say, I don't know why, cause good person",,0.1458,0.8542,False,False
"and say no, no, no,.","and say no, no, no,.",,0.128,0.872,False,False
"and all of a sudden realized, uh, say, yeah, now, uh, um.","and all of a sudden realized, say, now",Cinderella realized it is midnight.,0.2078,0.7922,True,False
"Oh God, uh.",God,,0.17,0.83,False,False
"Right Round the wheels, wheels, you know, wheels round.","Right Round the wheels, wheels, wheels round",The prince and Cinderella danced around the room/all night/with no one else.,0.2032,0.7968,True,False
Here.,Here.,,0.0541,0.9459,False,False
"and say, oh yes, very good, yeah, very good, very good,.","and say, yes, very good, very good, very good",,0.1377,0.8623,False,False
"and say, yeah, very good,.","and say, very good",,0.1658,0.8342,False,False
"and But say, oh no, oh no, yeah, yeah, yeah,.","and But say, no, no, ",,0.1394,0.8606,False,False
"and say, no, sir, yeah, yeah,.","and say, no, sir, ",,0.162,0.838,False,False
"and say, well, look, uh, Oh God, uh, shoe shoe fits, shoe fits, yes, right here,.","and say, look, God, shoe shoe fits, shoe fits, yes, right here",Prince finds Cinderella’s shoe.,0.21,0.79,True,False
"and see,.","and see,.",,0.1688,0.8312,False,False
"and say, well, yeah,.","and say, ",,0.1495,0.8505,False,False
"but uh I don't know why,.",but I don't know why,Cinderella is told by the stepmother she cannot go to the ball unless/because.,0.1759,0.8241,True,False
"and say, well, I do cause nice and not nice.","and say, I do cause nice and not nice",,0.1527,0.8473,False,False
"and say oh no, yes, yes,.","and say no, yes, yes",,0.0891,0.9109,False,False
"and say, OK, and uh Now, really good, really good, and not good, not good.","and say, OK, and Now, really good, really good, and not good, not good",Cinderella realized it is midnight.,0.1759,0.8241,True,False
"I'm sorry, not good,.","I'm sorry, not good,.",,0.1566,0.8434,False,False
"and say, well, Really good uh uh.","and say, Really good",Prince comes to Cinderella's house.,0.2027,0.7973,True,False
Finger up.,Finger up.,Stepmother/stepsisters went to the ball.,0.2162,0.7838,True,False
For uh.,For,,0.1029,0.8971,False,False
"Good, uh, say good.","Good, say good",,0.0833,0.9167,False,False
Oh God.,God,,0.17,0.83,False,False
"Say good, bad, uh.","Say good, bad",,0.1133,0.8867,False,False
"I, I know it, uh.","I, it",,0.1577,0.8423,False,False
"And say Good, bad,.","And say Good, bad,.",,0.1506,0.8494,False,False
"And say, really nice, really, really, really good too, and not good,.","And say, really nice, really, really, really good too, and not good,.",The fairy godmother makes Cinderella into a beautiful princess.,0.2092,0.7908,True,False
"and say, well, sorry, but now soon.","and say, sorry, but now soon",,0.1294,0.8706,False,False
Brother.,Brother.,,0.1442,0.8558,False,False
"Whatever, I guess, brother,.","Whatever, brother",,0.0621,0.9379,False,False
and say yes indeed.,and say yes indeed.,,0.0862,0.9138,False,False
"and say, OK, thank you.","and say, OK, thank you.",,0.124,0.876,False,False
"Sandberg, he was a, uh, worked in a, in a, a, a help a family.","Sandberg, he was a, worked in a, in a, a, a help a family",He put the slipper on Cinderella’s foot.,0.2405,0.7595,True,False
that had that he was a a servant of the uh the film and uh.,that had that he was a a servant of the the film and,Cinderella was a servant to the stepmother and stepsisters.,0.3324,0.6676,True,False
"and they have two daughters or 3 daughters and the man was, uh, the lady was ugly, uh, gross gross all the time.","and they have two daughters or 3 daughters and the man was, the lady was ugly, gross gross all the time",Dad remarried a woman with two daughters.,0.37,0.63,True,False
And um they were about how how to they there was going to be a Paul ball and then.,And they were about how how to they there was going to be a Paul ball,They got an invitation to the ball.,0.2567,0.7433,True,False
"and uh everybody wanted to go and uh the the uh um queen or uh the not not queen but the the The man Uh,.",and everybody wanted to go and the the queen or the not not queen but the the The man,The prince and Cinderella danced around the room/all night/with no one else.,0.4528,0.5472,True,False
"that Head, he's going to have a ball.","that Head, he's going to have a ball.",,0.1628,0.8372,False,False
"and he, they, what he want everybody got want to go.","and he, they, what he want everybody got want to go.",The prince and Cinderella danced around the room/all night/with no one else.,0.187,0.813,True,False
and get their clothes.,and get their clothes.,Cinderella has to do housework.,0.2217,0.7783,True,False
"They're, they're, they're, um.","They're, they're, they're",They are excited about the ball.,0.1715,0.8285,True,False
Fine clothes on.,Fine clothes on.,The slipper fits Cinderella perfectly.,0.2413,0.7587,True,False
"and have the balls and , and gowns and , and outside.","and have the balls and , and gowns and , and outside.",They got an invitation to the ball.,0.3292,0.6708,True,False
"and had they uh say um they he said he was uh Sandoranno wasn't able to go, so he was out out with the uh outside with the animals outside and she was he wasn't she wasn't happy at all and they uh very, very, very.","and had they say they he said he was Sandoranno wasn't able to go, so he was out out with the outside with the animals outside and she was he wasn't she wasn't happy at all and they very, very, very",Cinderella was upset.,0.2947,0.7053,True,False
"Fay, no,.","Fay, no,.",Cinderella was upset.,0.2323,0.7677,True,False
"that 's right, furry flower man, a lady came and ,.","that 's right, furry flower man, a lady came and ,.",A fairy godmother appeared to Cinderella.,0.3991,0.6009,True,False
"and had a, a, a, a wand that was special, and he able to get her, her the pretty clothes and a, a pumpkin for a, a, a coach, and he was able to ride it.","and had a, a, a, a wand that was special, and he able to get her, her the pretty clothes and a, a pumpkin for a, a, a coach, and he was able to ride it.",He put the slipper on Cinderella’s foot.,0.5245,0.4755,True,False
"Uh, to the, the ball and everybody at the ball where.","to the, the ball and everybody at the ball where",They got an invitation to the ball.,0.2397,0.7603,True,False
"that , uh, the, uh, the prince was, uh, thought he was really pretty, pretty, pretty,.","that, the, the prince was, thought he was really pretty, pretty, pretty",Cinderella and the prince were married.,0.5028,0.4972,True,False
"and he had had, uh, had, uh, shears or , or , or glass gla glass blessers, no sappers, uh, I mean, uh, shoes.","and he had had, had, shears or, or, or glass gla glass blessers, no sappers, shoes",He put the slipper on Cinderella’s foot.,0.3331,0.6669,True,False
"And they, she walked at midnight she realized he had to hurry.","And they, she walked at midnight she realized he had to hurry.",Cinderella realized it is midnight.,0.4502,0.5498,True,False
"and you lost a, a, a shoe on the, a glass, uh, shoe on the, on the ground.","and you lost a, a, a shoe on the, a glass, shoe on the, on the ground",As she was running down the stairs she lost one of the glass slippers.,0.4077,0.5923,True,False
"and they, uh, everybody was going to be, uh, uh, naked to, uh.","and they, everybody was going to be, naked to",They got an invitation to the ball.,0.3423,0.6577,True,False
"tied on the uh shoe, uh, about shoes are all too little,.","tied on the shoe, about shoes are all too little",Prince finds Cinderella’s shoe.,0.3216,0.6784,True,False
"and , uh, she, she was told him, her them the, the.","and, she, she was told him, her them the, the",She ran down the stairs.,0.3371,0.6629,True,False
He would tie tie the shoe on.,He would tie tie the shoe on.,He put the slipper on Cinderella’s foot.,0.3262,0.6738,True,False
and they found that Cinderella because uh were able to get a shoe on.,and they found that Cinderella because were able to get a shoe on,Prince finds Cinderella’s shoe.,0.7526,0.2474,True,False
"and he, uh, uh, get, uh, what with a, with the prince.","and he, get, what with a, with the prince",The king thinks the prince should get married.,0.4134,0.5866,True,False
and he go they went away.,and he go they went away.,The prince and Cinderella danced around the room/all night/with no one else.,0.2563,0.7437,True,False
"and lived every, ever, ever ever after uh after that night.","and lived every, ever, ever ever after after that night",Cinderella and the prince lived happily ever after.,0.4061,0.5939,True,False
"She was a maid, I think.",She was a maid,Cinderella was a servant to the stepmother and stepsisters.,0.522,0.478,True,False
"And has a mother, uh, has a daughter, not that she, she's, she's a maid.","And has a mother, has a daughter, not that she, she's, she's a maid",Cinderella was a servant to the stepmother and stepsisters.,0.5005,0.4995,True,False
and she has.,and she has.,She returned home in time.,0.2233,0.7767,True,False
"The woman there was the hired, who hired her hired her, and two girls were behind her.","The woman there was the hired, who hired her hired her, and two girls were behind her.",A fairy godmother appeared to Cinderella.,0.3434,0.6566,True,False
A mother and two daughters.,A mother and two daughters.,Dad remarried a woman with two daughters.,0.2381,0.7619,True,False
OK.,OK.,,0.0911,0.9089,False,False
"Uh, Uh, I, I don't know, uh, she eventually goes to the wedding ball or something like that , wedding ball.","I, I don't know, she eventually goes to the wedding ball or something like that, wedding ball",Cinderella lives with her stepmother/stepsisters.,0.525,0.475,True,False
And she had a was a has a shoe.,And she had a was a has a shoe.,He put the slipper on Cinderella’s foot.,0.4118,0.5882,True,False
that went with her.,that went with her.,As she was running down the stairs she lost one of the glass slippers.,0.3834,0.6166,True,False
I don't know how.,I don't know how.,,0.09,0.91,False,False
that worked though.,that worked though.,,0.1051,0.8949,False,False
The shoe was a glass boot glass.,The shoe was a glass boot glass.,He put the slipper on Cinderella’s foot.,0.3921,0.6079,True,False
"Glass, shit, glass boot.","Glass, shit, glass boot.",As she was running down the stairs she lost one of the glass slippers.,0.2104,0.7896,True,False
"I'm sorry, boot, it's not a boot, but glass.","I'm sorry, boot, it's not a boot, but glass.",As she was running down the stairs she lost one of the glass slippers.,0.1993,0.8007,True,False
"And , uh, Uh,.","And, ",,0.1522,0.8478,False,False
"And she met that guy, the good looking young man.","And she met that guy, the good looking young man.",Cinderella and the prince were married.,0.3852,0.6148,True,False
"that he liked,.","that he liked,.",He put the slipper on Cinderella’s foot.,0.2849,0.7151,True,False
"and She went home from the ball, I think that was about it, you know.","and She went home from the ball, that was about it",Stepmother/stepsisters went to the ball.,0.4161,0.5839,True,False
Um.,,,0.1262,0.8738,False,False
What was in there?,What was in there?,Cinderella went to the ball in the coach.,0.2747,0.7253,True,False
Cinderella was brought to this factory.,Cinderella was brought to this factory.,Cinderella has to do housework.,0.6691,0.3309,True,False
"or Prison or jail or something,.","or Prison or jail or something,.",,0.0509,0.9491,False,False
"and , uh, She was put to one side.","and, She was put to one side",Cinderella was upset.,0.423,0.577,True,False
"She was supposed to be the Cinderella,.","She was supposed to be the Cinderella,.",Cinderella was upset.,0.6927,0.3073,True,False
