participant,utterance,Ground Truth Matching? ,predicted matching
wozniak04a,"and , uh, She was put to one side.",False,True
wozniak04a,"She was supposed to be the Cinderella,.",False,True
wozniak04a,"and they all had a thing,.",False,True
wozniak04a,"and Then they come,.",False,True
wozniak04a,And found her.,True,False
williamson07a,One time.,False,True
williamson07a,"Everyone would come with a woman, with a woman,.",False,True
williamson07a,"and they would The The old, older man will Make A allow a man would Cover everything.",False,True
williamson07a,To his son.,False,True
williamson07a,"But When they took, took the, Everybody got, everyone got all set up.",False,True
williamson07a,"They were, the, the, They, they, when I say they, I mean the girls.",False,True
williamson07a,"She, they look upon her.",False,True
williamson07a,"as they go to the, go onto the Fair fairground, fair, fair.",False,True
williamson07a,Left And down all she down we.,False,True
williamson07a,"that day, she goes with the, Pets.",False,True
williamson07a,"And she says, especially these.",False,True
williamson07a,"2 Little boats for Her Or 111 on your, on the foot and the other on the other foot.",False,True
williamson07a,And she was taken to.,False,True
williamson07a,A window.,False,True
williamson07a,"And Went out to the, to the, up to the wall.",False,True
williamson07a,To the house.,False,True
williamson07a,"Ha Happily, she got in, you know, out of the window or out of the window.",False,True
williamson07a,Out of the.,False,True
williamson07a,Out of the.,False,True
williamson07a,Out of the.,False,True
williamson07a,Out of the.,False,True
williamson07a,Down she got down.,False,True
williamson07a,and she went up the stairs to.,False,True
williamson07a,The window to celebrate.,False,True
williamson07a,Overwhelmed by her.,True,False
williamson07a,It only works until 12 o'clock.,True,False
williamson07a,"And She almost, she.",False,True
williamson07a,She Help.,False,True
williamson07a,"But she falls, the false.",False,True
williamson07a,"Once, when the, The hospital, uh, uh, He goes, she goes.",False,True
williamson07a,"So Later, the, the sun, the son, he gets the, the.",False,True
williamson07a,"So He, the son.",False,True
williamson07a,"that it would have the one, the one who had the real.",False,True
williamson07a,"So, they go through all this, So so.",False,True
williamson07a,To call to.,False,True
williamson07a,And so he Goes to this last sort of house and he.,False,True
williamson07a,What she is She only puts.,False,True
williamson07a,On On sits down.,False,True
williamson07a,and he puts her on her pitcher.,False,True
williamson07a,and The That everything was very good.,False,True
williamson07a,"You get So, with a woman,.",False,True
adler06a,So She was uh The angel for Legwood.,False,True
adler06a,She was for Fendel for someone else.,False,True
adler06a,The other children.,False,True
adler06a,Children for her.,False,True
adler06a,Or 3 children or whatever with her.,False,True
adler06a,The pesos that were going for the party.,False,True
adler06a,And she was sending people for pretzels for the present.,False,True
adler06a,She had huddled.,False,True
adler06a,"The People were, they found her letter.",False,True
adler06a,And the peasants with the other people where they found her.,False,True
fridriksson11a,or maybe she sought refuge in the stables.,False,True
fridriksson11a,and get it.,True,False
wozniak06a,"Um, I came to, uh.",False,True
wozniak06a,"I can't remember now, um.",False,True
wozniak06a,"I can't remember now,.",False,True
wozniak06a,"and I can't tell from that what, where she is.",False,True
wozniak06a,"So , um, She went to the wall.",False,True
wozniak06a,"Uh, came and , um.",False,True
wozniak06a,I don't remember that was there or not.,False,True
wozniak06a,"I can't remember how she was forced to leave,.",False,True
wozniak06a,"but she was,.",True,False
wozniak06a,So very quickly.,True,False
wright203a,but all of a sudden she died.,False,True
wright203a,She's not gonna do anything like that.,False,True
wright203a,And it goes on time all the time.,False,True
wright203a,"The name I can't ever say, you know.",False,True
wright203a,"and send, give it to a person.",True,False
wright203a,and then nobody fixed it nobody.,False,True
wright203a,"and live what, you know.",False,True
Baycrest12331a,"and she had this, the, um, what is.",False,True
Baycrest12331a,"And so, uh, I'm trying to think of who, um, how.",False,True
244-1,and there they talk about the fact.,True,False
244-1,Would he please settle down?,True,False
244-1,cause really we need him to get married.,True,False
244-1,"if you get all your work done, you can go, knowing full well.",True,False
244-1,that would make it.,True,False
244-1,Anastasia.,True,False
244-1,And Anastasia.,True,False
244-1,Make her.,False,True
244-1,Salaadula Mgabula bibbity bodi boo.,True,False
244-1,Put them together?,True,False
244-1,and what have you got?,True,False
244-1,ibbity bo boo.,True,False
244-1,There's more.,False,True
244-1,while she's doing.,False,True
244-1,but the story wouldn't work without.,False,True
244-1,This is a long story.,False,True
46-1,So They should have made it.,False,True
46-1,So she's leaving.,True,False
46-1,and takes it.,False,True
276-1,"but it, uh, when he gets a second chance.",True,False
276-1,and get put out.,False,True
101-1,"Sadly, he dies.",True,False
101-1,So they send invitations out throughout the land.,True,False
101-1,"but she's, she has a lot of friends in the, um, animal world,.",True,False
101-1,before everything changes back.,True,False
101-1,"for some reason doesn't change back, even.",True,False
233-1,while the dollars were living in luxury.,True,False
233-1,and marry them.,True,False
04-01,and do all kinds of things like.,True,False
04-01,So he goes.,False,True
04-01,"and they, they try to pretend.",True,False
04-01,"but she does,.",False,True
36-1,"Uh, jealous and aggressive.",True,False
36-1,and mean.,True,False
36-1,"I will give you, grant you grant you some wishes,.",True,False
36-1,"and she does just that , so.",False,True
36-1,"Uh, is instantly attracted.",True,False
36-1,as they're leaving.,False,True
92-1,All right.,True,False
92-1,Beautiful gala and um.,True,False
92-1,"and with the this part, the, the, the pictures kind of went through,.",False,True
92-1,That was a couple minutes to 12.,True,False
92-1,"but she, he insisted,.",False,True
92-1,Happily ever after.,True,False
98-1,It was a bad relationship from the beginning.,True,False
98-1,that she would even think.,False,True
98-1,about going.,False,True
98-1,The only rule is.,True,False
98-1,"that He said, they say he will go around to all the women in the In the land,.",True,False
98-1,and he will try on.,True,False
